vege_name,state,unit,date,max_price,average_price,min_price
holland sweet potato,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,5.5,5.25,5
holland sweet potato,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,3,3,3
holland sweet potato,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,4,4,4
holland sweet potato,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,3,3,3
holland sweet potato,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,4,3.75,3.5
holland sweet potato,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,3,3,3
holland sweet potato,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,3.5,3.25,3
holland sweet potato,"KINTA, PERAK",KILOGRAM,9/6/2022,3,3,3
holland sweet potato,"PERLIS, PERLIS",KILOGRAM,9/6/2022,3,3,3
holland sweet potato,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,3.8,3.8,3.8
holland sweet potato,"KLANG, SELANGOR",KILOGRAM,9/6/2022,4,3.9,3.8
holland sweet potato,"PETALING, SELANGOR",KILOGRAM,9/6/2022,4,4,4
holland sweet potato,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,4,4,3
holland sweet potato,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,5,4.5,4.5
holland sweet potato,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,3.6,3.6,3.6
holland sweet potato,"SIBU, SARAWAK",KILOGRAM,9/6/2022,2.9,2.9,2.9
holland sweet potato,"MIRI, SARAWAK",KILOGRAM,9/6/2022,3,3,3
holland sweet potato,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,4.5,4.5,4.5
holland sweet potato,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,5,4.5,4
yellow / holland onion,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,5.5,5.25,5
yellow / holland onion,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,5,5,5
yellow / holland onion,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,5,4.5,4.5
yellow / holland onion,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,4.5,4.5,4.5
yellow / holland onion,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,4.5,4.25,4
yellow / holland onion,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,4,4,4
yellow / holland onion,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,5,4.5,4
